comment_id,comment,full_comment,topic,domain,predicted_WA
arg_0_2,always good beer <SEP> positive,OB beer always good !  ,drink -> alcohol,Restaurants,0.20178267359733582
arg_0_3,amazing shrimp cocktail <SEP> positive,The Shrimp cocktail is amazing !  ,drink -> alcohol,Restaurants,0.30472949147224426
arg_0_4,among the best spring rolls <SEP> positive,"Their spring rolls are among the best I 've ever had , though a little on the greasy side .",drink -> alcohol,Restaurants,0.30540332198143005
arg_0_5,astoundingly good local blueberry honey ale <SEP> positive,I also had a local blueberry honey ale that was astoundingly good .,drink -> alcohol,Restaurants,0.6119146943092346
arg_0_6,awesome seafood cocktail <SEP> positive,The seafood cocktail is awesome .,drink -> alcohol,Restaurants,0.46307268738746643
arg_0_7,awful vodka recommendation <SEP> negative,"Do n't take suggestions on cocktails , the vodka recommendation was awful .",drink -> alcohol,Restaurants,0.520794689655304
arg_0_8,best double char <SEP> positive,Double Char is the best ! !,drink -> alcohol,Restaurants,0.23155832290649414
arg_0_9,best draft house <SEP> positive,"We have tried I think every place in the valley , and the Draft House was the best .... until finding this place .  ",drink -> alcohol,Restaurants,0.3767247200012207
arg_0_10,best margarita <SEP> positive,I got the pickled pear margarita and It was the best margarita I have ever had,drink -> alcohol,Restaurants,0.4430091977119446
arg_0_11,best margaritas <SEP> positive,Ani always makes the best margaritas !,drink -> alcohol,Restaurants,0.3255784213542938
arg_0_12,best root beer <SEP> positive,Best root beer in the valley .,drink -> alcohol,Restaurants,0.3781311511993408
arg_0_13,better cocktails <SEP> positive,Cocktails were much better than usual bars and very reasonably priced .,drink -> alcohol,Restaurants,0.4353095293045044
arg_0_14,better margaritas <SEP> positive,And their margaritas are way better than the ones at the Mexican restaurant that I 'm eating at now .,drink -> alcohol,Restaurants,0.42300042510032654
arg_0_17,cold beer <SEP> negative,Cold beer .,drink -> alcohol,Restaurants,0.43920034170150757
arg_0_19,cold draft beer <SEP> positive,The draft beer was cold and fresh .,drink -> alcohol,Restaurants,0.394972562789917
